peak.name,baseMean.de,padj.nc12.v.nc11,lfc.nc12.v.nc11,padj.nc13.v.nc12,lfc.nc13.v.nc12,padj.nc14.v.nc13,lfc.nc14.v.nc13,padj.lnc14.v.nc14,lfc.lnc14.v.nc14,intergenic,promoter,intron,exon,genomic.feature,open.at.NC11,open.at.NC12,open.at.NC13,open.at.NC14,open.at.LNC14,class
scaffold_1:10097408-10097785,64.42117206,0.9408,-0.08699,0.2062,0.5812,5.84E-07,1.299,0.2356,0.5993,FALSE,FALSE,TRUE,TRUE,exon and intron,FALSE,FALSE,FALSE,TRUE,TRUE,group.8
scaffold_1:10107398-10107574,27.08028906,0.8602,0.1787,0.2213,-0.6184,0.01655,0.7906,0.8501,-0.2015,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:10109249-10109382,43.1783897,0.9286,0.1053,0.8886,0.1134,0.1479,-0.5466,0.8068,-0.2933,FALSE,FALSE,TRUE,FALSE,intron,TRUE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:10112985-10113136,17.57446276,0.6281,0.5955,0.2353,-0.8587,0.8352,0.1318,0.8937,-0.2428,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10119964-10120153,30.52963537,0.7442,0.2871,0.1211,-0.6758,0.7019,0.1484,0.9034,-0.1457,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:1012103-1012186,9.296207451,0.362,-1.216,0.3759,-0.8376,0.1365,0.9197,0.83,-0.459,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10125879-10125953,8.721818506,0.8002,0.4229,0.4355,0.6988,0.1831,-0.7209,0.9319,-0.1855,FALSE,FALSE,TRUE,TRUE,exon and intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:1015631-1015737,18.03972407,0.718,-0.4662,0.7907,-0.2602,0.8045,-0.1532,0.6401,-0.6126,TRUE,FALSE,FALSE,FALSE,intergenic,TRUE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:10164671-10164843,18.60362326,0.2422,1.076,0.2764,-0.6739,0.5078,0.3112,0.8214,0.2828,FALSE,FALSE,FALSE,TRUE,exon,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10189459-10189641,49.95138748,0.7935,0.2709,0.7783,0.1971,0.8326,-0.09365,0.7797,0.3073,FALSE,FALSE,FALSE,TRUE,exon,FALSE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:10189895-10190054,51.58378659,0.9419,-0.08044,0.7349,0.2105,0.05726,-0.6261,0.9823,-0.038,FALSE,FALSE,FALSE,TRUE,exon,TRUE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:10197742-10198036,45.96853053,0.3554,0.6186,0.8317,0.127,0.6658,-0.1457,0.8044,0.221,FALSE,FALSE,FALSE,TRUE,exon,FALSE,FALSE,FALSE,TRUE,TRUE,not dynamic not in group
scaffold_1:10214958-10215051,47.69736611,0.8352,0.2705,0.7783,0.2409,0.1936,-0.6009,0.886,-0.2488,FALSE,TRUE,TRUE,FALSE,promoter,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10216433-10216579,28.72659698,0.9894,0.0151,0.6698,-0.2588,0.3235,-0.3596,0.741,0.3021,FALSE,TRUE,FALSE,TRUE,promoter,FALSE,FALSE,FALSE,FALSE,TRUE,not dynamic not in group
scaffold_1:10228656-10228809,26.60040252,0.4453,0.9474,0.4394,-0.6807,0.6825,0.2695,0.9632,0.1141,FALSE,FALSE,TRUE,TRUE,exon and intron,FALSE,FALSE,FALSE,TRUE,TRUE,not dynamic not in group
scaffold_1:10235539-10235808,155.5103933,0.1992,0.9081,0.6504,0.2802,0.2656,-0.4126,0.7241,-0.3721,FALSE,TRUE,FALSE,TRUE,promoter,TRUE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:10246100-10246189,21.40467755,0.8409,0.2483,0.7109,0.289,0.3465,-0.4194,0.1474,-1.081,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10248114-10248258,34.82466082,0.4077,0.6549,0.04564,0.8337,9.64E-07,-1.439,0.7145,-0.3555,FALSE,TRUE,FALSE,TRUE,promoter,FALSE,FALSE,TRUE,FALSE,FALSE,group.1
scaffold_1:10262999-10263102,23.85359267,0.8488,-0.2487,0.9466,0.07209,0.8711,0.09306,0.7269,0.4325,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:10265389-10265469,13.93233023,0.9403,-0.1382,0.9146,0.1394,0.9922,0.007,0.7321,0.5032,FALSE,FALSE,FALSE,TRUE,exon,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10267139-10267332,31.58003824,0.921,-0.1149,0.1907,-0.6949,5.73E-08,1.701,0.1916,0.6506,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,TRUE,TRUE,group.14
scaffold_1:10289364-10289691,50.37423351,0.05879,-1.226,0.7462,-0.2219,4.70E-06,1.446,0.2824,0.6761,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,TRUE,TRUE,group.15
scaffold_1:10290282-10290438,23.10252544,0.4003,-0.7973,0.4184,-0.5586,0.2456,0.529,0.5863,0.5447,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:10306217-10306317,11.10191873,0.9757,0.05744,0.3069,-0.891,0.07413,1.012,0.2255,1.001,FALSE,TRUE,FALSE,FALSE,promoter,FALSE,FALSE,FALSE,FALSE,TRUE,not dynamic not in group
scaffold_1:10314704-10314803,18.09018236,0.5775,-0.6457,0.5014,-0.509,0.3902,0.4297,0.0001386,1.996,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,TRUE,group.4
scaffold_1:10316240-10316392,42.00767712,0.7163,-0.3062,0.2874,-0.5227,0.5777,0.2107,0.06371,0.8745,FALSE,FALSE,FALSE,TRUE,exon,FALSE,FALSE,FALSE,TRUE,TRUE,not dynamic not in group
scaffold_1:10360698-10360793,12.05449996,0.7973,-0.4116,0.7179,0.3778,0.4178,-0.4861,0.4931,0.8034,FALSE,TRUE,FALSE,TRUE,promoter,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10389058-10389172,13.64163216,0.5256,-0.8056,0.7798,-0.2925,0.07213,0.9114,0.0181,1.495,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,group.15
scaffold_1:10389518-10389821,26.06459946,0.5891,-0.5291,0.5755,-0.4159,1.88E-05,1.563,0.2258,0.7039,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,TRUE,group.15
scaffold_1:10392054-10392132,10.83107107,0.999,-0.00241,0.4763,-0.6672,0.7621,0.2144,0.2655,1.054,FALSE,FALSE,TRUE,TRUE,exon and intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10415670-10415782,24.20110866,0.9145,-0.1447,0.5301,-0.4395,0.000396,-1.521,0.857,0.3013,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,group.13
scaffold_1:10418834-10419195,124.7168695,0.7264,0.3755,0.6698,0.3048,0.1566,-0.5854,0.8491,-0.2762,FALSE,TRUE,FALSE,TRUE,promoter,TRUE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:10442317-10442426,13.39404794,0.8426,0.2727,0.7751,0.2464,0.2885,-0.4855,0.6623,0.4693,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,TRUE,TRUE,not dynamic not in group
scaffold_1:10463754-10463855,10.1797917,0.6507,0.6721,0.6851,-0.4144,0.7688,0.2002,0.9159,-0.2227,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10463931-10464030,12.29079377,0.5232,-0.734,0.5669,-0.4908,0.8987,-0.08377,0.9825,-0.0557,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10470299-10470396,12.47133699,0.2807,-1.271,0.5191,0.6017,0.3271,0.5311,0.9181,-0.2095,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10480942-10481022,12.76752894,0.8238,-0.2809,0.2858,-0.7426,0.3981,0.4302,0.6508,-0.5263,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10481490-10481657,28.37303585,0.4671,-0.6557,0.9887,0.01426,0.8333,0.09958,0.9958,-0.00866,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:10482955-10483091,20.56545789,0.9125,-0.1508,0.4945,-0.4738,0.7553,-0.1636,0.9886,-0.03033,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10504688-10504815,22.9111776,0.6128,-0.4501,0.6633,-0.2728,0.02739,-0.7902,0.8957,0.1851,FALSE,FALSE,TRUE,FALSE,intron,TRUE,TRUE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:10509008-10509097,10.03688735,0.4309,-1.023,0.9423,-0.09429,0.8508,0.1303,0.7813,0.4652,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10566015-10566172,22.70963351,0.05879,-1.319,0.438,-0.4943,0.03342,0.8069,0.8356,0.258,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:10566712-10566798,12.95599575,0.6556,0.6263,0.3467,-0.7227,0.707,0.2284,0.8047,-0.4199,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10668220-10668308,10.32652179,0.8433,0.3271,0.7955,-0.268,0.7547,-0.2018,0.234,-1.386,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10782575-10782670,11.6252512,0.403,-0.9676,0.762,-0.2794,0.3707,-0.4826,0.5769,0.7113,FALSE,FALSE,FALSE,TRUE,exon,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10866029-10866104,9.534789539,0.7497,-0.4443,0.6259,-0.4574,0.5509,0.3547,0.9823,0.05345,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10871380-10871601,67.74337775,0.7915,-0.2059,0.898,-0.07629,0.1027,-0.4457,0.01256,-1.082,FALSE,FALSE,FALSE,TRUE,exon,TRUE,TRUE,TRUE,TRUE,FALSE,group.1
scaffold_1:10876004-10876157,25.8983552,0.5871,0.6433,0.7625,0.2683,0.07386,-0.832,0.8377,-0.3316,FALSE,TRUE,FALSE,TRUE,promoter,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10876999-10877103,23.0720699,0.5872,0.5082,0.7326,-0.235,0.3037,-0.409,0.3567,-0.7067,FALSE,FALSE,FALSE,TRUE,exon,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10889707-10889835,23.68551457,0.9878,-0.02802,0.2183,0.9015,0.6668,-0.2436,0.9302,0.1783,FALSE,TRUE,FALSE,TRUE,promoter,FALSE,FALSE,FALSE,TRUE,TRUE,not dynamic not in group
scaffold_1:10909063-10909259,110.2388152,0.9702,-0.04926,0.3462,0.5532,0.1757,-0.5374,0.9572,0.097,FALSE,FALSE,FALSE,TRUE,exon,TRUE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:10911169-10911287,26.70552903,0.7274,-0.3609,0.7797,0.2124,0.2188,0.4657,0.7283,0.3353,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:10915454-10915561,29.86857235,0.6622,0.4088,0.05193,-0.8846,0.01868,0.8107,0.6613,-0.3921,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10917555-10917652,23.53284291,0.2902,1.11,0.7895,0.2137,0.01511,0.8834,0.8658,-0.2121,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:10919347-10919785,132.2623301,0.3541,0.7411,0.1507,0.6391,2.41E-24,2.503,0.968,0.05116,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,TRUE,group.8
scaffold_1:10921768-10921852,19.10978268,0.8876,0.2158,0.8081,0.2371,0.3759,-0.4686,0.7675,0.4285,FALSE,FALSE,TRUE,TRUE,exon and intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10935075-10935251,51.27306854,0.4382,0.7175,0.001835,1.185,0.08395,0.5153,0.4785,0.4591,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,TRUE,group.8
scaffold_1:10935545-10935871,137.2302757,0.07191,1.206,0.000135,1.256,0.000131,1.011,0.5091,0.4385,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,TRUE,TRUE,TRUE,group.8
scaffold_1:10936156-10936468,282.9180184,0.4233,0.5169,0.03035,0.75,0.9171,-0.03763,0.7374,-0.2868,FALSE,FALSE,TRUE,FALSE,intron,TRUE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:10938217-10938800,217.9383166,0.1232,0.9081,0.5734,0.2897,0.4918,-0.236,0.8262,-0.2343,FALSE,TRUE,FALSE,TRUE,promoter,FALSE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:10993050-10993126,9.320686577,0.7558,-0.4632,0.5084,-0.6201,0.3589,0.5561,0.7811,-0.4595,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11013017-11013134,10.69868572,0.8543,-0.2756,0.3147,-0.8122,0.5583,0.3612,0.7906,0.4098,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11049963-11050110,36.01421687,0.8142,-0.3025,0.6826,0.3291,0.9289,0.05094,0.9393,-0.1449,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:11205763-11205882,14.00219984,0.9316,0.1394,0.8526,-0.1904,0.5855,-0.3119,0.9652,-0.0957,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11231487-11231586,12.37563414,0.6016,-0.6511,0.9558,-0.06619,0.9739,-0.0216,0.9408,0.1492,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11233483-11233609,32.90413535,0.6578,-0.4182,0.7854,-0.1993,0.9483,-0.03209,0.8635,0.2215,FALSE,FALSE,TRUE,FALSE,intron,TRUE,FALSE,FALSE,TRUE,TRUE,not dynamic not in group
scaffold_1:11238218-11238330,15.84516963,0.325,-0.9408,0.2939,-0.7539,0.07265,0.8452,0.7529,0.3905,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11292282-11292647,73.75717088,0.000107,-1.497,0.05985,-0.6866,0.001108,0.8589,0.927,0.1032,TRUE,FALSE,FALSE,FALSE,intergenic,TRUE,FALSE,FALSE,TRUE,TRUE,group.9
scaffold_1:11298787-11298868,17.90050776,0.03414,-1.587,0.7164,-0.3092,0.2175,0.5714,0.6616,-0.5127,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,group.11
scaffold_1:11337807-11337905,15.53376323,0.7255,-0.5644,0.3933,0.7289,0.001189,1.319,0.04063,1.146,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,group.8
scaffold_1:11341900-11342189,48.47143541,0.8708,-0.1591,0.2272,-0.5777,0.298,0.3671,0.1054,0.8367,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11346318-11346482,28.91078069,0.9005,-0.1622,0.8816,-0.1376,3.04E-06,1.633,0.4181,0.5598,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,TRUE,group.15
scaffold_1:11353754-11353985,54.41941613,0.9876,0.02072,0.8947,0.1085,0.05426,0.691,0.4812,-0.5752,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:113573-113903,180.1361186,0.9605,-0.05152,0.8222,-0.1371,0.8959,-0.05192,0.5969,0.4129,FALSE,FALSE,TRUE,FALSE,intron,TRUE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:11358237-11358740,374.5452231,0.9546,-0.05582,0.4205,0.3608,0.1345,0.4344,0.4204,0.5049,FALSE,FALSE,TRUE,FALSE,intron,TRUE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:11358905-11359010,43.87684082,0.4973,-0.5718,0.9766,-0.02697,0.1137,0.5767,0.2652,0.7101,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,TRUE,not dynamic not in group
scaffold_1:11360071-11360304,188.8741483,0.9975,0.002852,0.5267,-0.2696,0.1505,0.3817,0.01147,-0.977,FALSE,FALSE,TRUE,FALSE,intron,TRUE,TRUE,TRUE,TRUE,FALSE,not dynamic not in group
scaffold_1:11364686-11364857,66.63418017,0.744,-0.3194,2.15E-05,1.494,0.7026,0.1393,0.9115,-0.1395,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,FALSE,group.8
scaffold_1:11364978-11365380,218.5009123,0.8012,0.2171,0.001084,1.068,0.006389,0.7474,0.9607,0.06756,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,TRUE,TRUE,TRUE,group.8
scaffold_1:11365757-11365844,51.25091999,0.9818,0.02535,0.1899,0.5841,0.5787,-0.1902,0.5875,0.385,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11366322-11366455,110.0719605,0.7959,0.2577,0.3708,0.488,0.7841,-0.1174,0.9856,0.03183,FALSE,FALSE,TRUE,TRUE,exon and intron,FALSE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:11368077-11368177,46.95882551,0.9703,-0.04397,0.8443,0.1323,0.1085,0.5057,0.003218,1.183,FALSE,FALSE,TRUE,TRUE,exon and intron,FALSE,FALSE,FALSE,FALSE,TRUE,group.8
scaffold_1:11368562-11368845,120.4410213,0.6913,0.3664,0.6034,0.3054,0.9063,-0.05196,0.3338,0.6761,FALSE,FALSE,TRUE,TRUE,exon and intron,FALSE,FALSE,FALSE,TRUE,TRUE,not dynamic not in group
scaffold_1:11369824-11369995,101.5906135,0.787,0.2658,0.7182,0.2294,0.05674,-0.6564,0.1443,-0.9231,FALSE,FALSE,TRUE,FALSE,intron,FALSE,TRUE,TRUE,TRUE,FALSE,not dynamic not in group
scaffold_1:11375855-11375956,25.22333639,0.7238,-0.3765,0.8612,0.141,0.8144,-0.1087,0.8337,0.264,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11379758-11379852,21.09666305,0.8426,0.2293,0.9003,0.109,0.5706,-0.2468,0.3022,-0.782,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11380340-11380492,23.83023696,0.9562,-0.07209,0.9038,0.1029,0.9033,0.05676,0.8614,-0.217,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11386942-11387095,37.70675838,0.7538,0.3711,0.8463,-0.1662,0.9112,0.06013,0.9386,0.1362,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:11387260-11387402,38.7965381,0.6195,0.4989,0.3033,-0.61,0.7453,0.1568,0.8393,-0.276,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11387892-11388096,54.30988511,0.6651,0.4406,0.316,-0.5879,0.3401,0.4031,0.1965,0.891,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,TRUE,not dynamic not in group
scaffold_1:11390890-11391004,27.86092052,0.5815,0.5324,0.9122,0.09267,0.08676,0.5893,0.8496,-0.212,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11400383-11400503,48.76745997,0.3644,-0.6168,0.9039,-0.0881,0.119,0.4939,0.6884,0.323,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,TRUE,not dynamic not in group
scaffold_1:11402640-11402791,46.0272401,0.805,0.2675,0.8237,-0.1696,0.6817,0.1838,0.4504,-0.6312,FALSE,FALSE,TRUE,TRUE,exon and intron,FALSE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:11403352-11403709,193.2758744,0.8021,-0.1536,0.9364,0.03974,0.3544,0.2161,2.21E-05,-1.203,FALSE,FALSE,TRUE,FALSE,intron,TRUE,TRUE,TRUE,TRUE,TRUE,group.11
scaffold_1:11405135-11405239,36.13690244,0.9212,0.1104,0.788,-0.1832,0.3,0.3758,0.9896,0.02091,FALSE,FALSE,FALSE,TRUE,exon,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11420472-11420572,16.76139934,0.7934,-0.3349,0.1892,0.8699,0.06083,-0.8078,0.9528,-0.1098,FALSE,TRUE,FALSE,TRUE,promoter,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11423224-11423308,17.34939709,0.9373,0.1624,0.8217,0.2867,0.1011,-1.065,0.9229,0.2568,FALSE,TRUE,FALSE,TRUE,promoter,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:11434155-11434288,21.63193572,0.8039,0.2604,0.6049,0.3225,0.0005165,-1.187,0.9662,-0.07139,FALSE,TRUE,FALSE,TRUE,promoter,FALSE,FALSE,FALSE,FALSE,FALSE,group.3
scaffold_1:1143624-1143782,35.66419047,0.5493,-0.5338,0.2353,-0.6529,0.1425,-0.5931,0.1723,-1.041,TRUE,FALSE,FALSE,FALSE,intergenic,TRUE,TRUE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:11446169-11446269,32.48019504,0.8848,0.1693,0.2478,0.6324,0.0002148,-1.285,0.9517,-0.1033,FALSE,FALSE,FALSE,TRUE,exon,FALSE,FALSE,FALSE,FALSE,FALSE,group.3
scaffold_1:11446695-11446997,89.69222861,9.34E-08,2.01,0.0165,0.6933,0.001351,-0.7039,0.01831,-0.8338,FALSE,FALSE,FALSE,TRUE,exon,FALSE,FALSE,TRUE,TRUE,TRUE,group.6
scaffold_1:11449716-11449917,109.5932718,0.5251,0.5142,0.5584,0.3337,0.09213,-0.5749,0.9691,-0.06371,FALSE,TRUE,TRUE,TRUE,promoter,TRUE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:11450085-11450246,67.30018838,0.79,0.2402,0.5579,0.3168,0.02557,-0.6965,0.9906,-0.0178,FALSE,TRUE,FALSE,TRUE,promoter,TRUE,FALSE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:114565-114639,20.88216589,0.9589,-0.09461,0.4067,-0.7404,0.7396,-0.2329,0.8352,0.3909,FALSE,FALSE,TRUE,TRUE,exon and intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
